2020-04-22 10:26:48,574 [AUDIT] Token created by 'jffe@000': tokenId='e42c6336-a213-4a90-bfef-6e7991777ced', issuer='jffe@000', subject='jffe@000', expiry=1587551808569, refreshable=false
2020-04-22 10:26:48,600 [AUDIT] Token created by 'jffe@000': tokenId='278b96a6-f7cf-4ac5-819c-020af23a0fd8', issuer='jffe@000', subject='jffe@000', expiry=1587551808571, refreshable=false
2020-04-22 10:26:48,607 [AUDIT] Token created by 'jffe@000': tokenId='f606571b-b871-4cdd-89ac-4bcc2037ff39', issuer='jffe@000', subject='jffe@000', expiry=1587551808571, refreshable=false
2020-04-22 10:27:57,642 [AUDIT] Token created by 'jffe@000': tokenId='a64077f2-b440-452f-9ba2-8ee4f87e0d51', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1587551877636, refreshable=false
2020-04-22 10:36:48,624 [AUDIT] Token created by 'jffe@000': tokenId='94e60256-9c30-4a38-abd6-bdd37a013d85', issuer='jffe@000', subject='jffe@000', expiry=1587552408620, refreshable=false
2020-04-22 10:36:48,627 [AUDIT] Token created by 'jffe@000': tokenId='56586f09-b140-46e5-be0c-f209bb072cac', issuer='jffe@000', subject='jffe@000', expiry=1587552408621, refreshable=false
2020-04-22 10:36:48,630 [AUDIT] Token created by 'jffe@000': tokenId='d072f019-98b8-4cfb-ab53-fb311aae6b8d', issuer='jffe@000', subject='jffe@000', expiry=1587552408620, refreshable=false
2020-04-22 10:36:48,638 [AUDIT] Token created by 'jffe@000': tokenId='25b8beed-0f86-41e7-bd87-5b05633c10b1', issuer='jffe@000', subject='jffe@000', expiry=1587552408622, refreshable=false
2020-04-22 10:37:57,701 [AUDIT] Token created by 'jffe@000': tokenId='0ad3ed04-2e19-49a9-91c2-c89176acbcfc', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1587552477696, refreshable=false
2020-04-22 10:46:48,706 [AUDIT] Token created by 'jffe@000': tokenId='931098e4-70d8-4597-a5d9-e8b9f98ca960', issuer='jffe@000', subject='jffe@000', expiry=1587553008702, refreshable=false
