2020-05-08T16:41:22.563Z|63f9af77f6d0df28|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|179|-|90.909|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:41:47.265Z|609d2a84b1f2236 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|34.261|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:42:12.301Z|7b49344085c9c5ad|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|65.539|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:42:37.261Z|49c9bd772d0a3245|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|30.048|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:02.282Z|5f429b19151a11d |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|50.850|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:27.284Z|67da4adc876f366d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|52.385|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:35.690Z|517086912d73f30a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/users/groups|200|245|-|405.514|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:35.696Z|7e7e4b28857f8e37|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/distribution/info|200|2|-|424.998|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:35.732Z|5d53ae6fb25d5853|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/local/info|200|295|-|466.278|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:35.733Z|44f24d555fe0dfc6|::ffff:127.0.0.1|admin|GET|/api/v1/ui/securityconfig|200|404|-|507.215|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:35.734Z|7b8de445632fbc59|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/remote/info|200|168|-|469.502|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:36.367Z|6e3cbda2d62b7133|::ffff:127.0.0.1|admin|POST|/api/v1/ui/groupPermission|200|558|22|86.514|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
